CLT AGE,CLT CATEGORIE,SEGMENT,CLT REV MENS NET,MMM,VOLUME DES REVENUS,CREDIT CONSO,CREDIT IMMO,CLASSE DE RISQUE,PRIME_ASSURANCE
45,7150,TRE,2500,2868.956,753.050228,0,74561.107,0,698.927
43,7000,CLASSE MOYENNE,1230,1920.378,2478.003,0,31979.673,0,374.162
47,7000,HAUT DE GAMME,6060,11884.119,0,21954.025,93615.166,0,960.997
50,7000,CLASSE MOYENNE,6000,5794.237,39447.381,24706.956,103588.854,0,1053.377
56,7000,CLASSE MOYENNE,2885.54,1174.281,267.404,0,44666.955,1,0
73,7000,HAUT DE GAMME,2704.4,18652.761,129527.391,96467.298,237334.16,1,0
39,7000,CLASSE MOYENNE,1892.05,1987.47,47.313,0,48105.134,1,0
47,7000,CLASSE MOYENNE,2888.36,578.986,16.668,1056.648,40130.123,0,389.881
37,7000,CLASSE MOYENNE,4781.48,2128.846,3.955,0,258.534,1,0
44,7000,HAUT DE GAMME,3350,2641.893,24025.117,0,18987.039,0,111.074
60,7000,HAUT DE GAMME,1442,9519.841,5299.04,0,95734.243,0,2240.181
49,7000,HAUT DE GAMME,3000,38674.387,110565.754,36727.355,74460.521,0,1570.968
44,7000,HAUT DE GAMME,6191.916,23228.024,165641.073,0,33263.964,0,155.675
55,7000,HAUT DE GAMME,23160,50000.597,583.613,391363.646,53233.621,0,4536.163
67,6000,HAUT DE GAMME,10116,237153.088,0,50000,261832.666,0,3183.125
55,7000,CLASSE MOYENNE,891,1869.162,11124.511,0,16927.419,0,237.661
66,7000,CLASSE MOYENNE,825,1041.901,0,0,26727.987,0,470.915
54,6000,GRAND PUBLIC,2500,1614.23,561.889,13576.005,5376.71,0,175.449
48,7000,HAUT DE GAMME,4515,9204.021,8429.821,0,141520.525,0,1059.706
62,7150,TRE,35000,29732.9599,31305.23072,81931.489,192608.766,0,2157.336
46,7000,HAUT DE GAMME,1820,2480.35,3562.716,4576.951,4430.186,0,80
53,7000,CLASSE MOYENNE,1800,614.835,1475.298,0,4730.891,0,80
50,7000,HAUT DE GAMME,2075,3719.126,14003.437,0,44268.675,0,414.355
53,7000,CLASSE MOYENNE,1180,1424.373,0,0,34496.791,0,495.222
39,7000,HAUT DE GAMME,2344,1941.595,5512.582,15656.627,30673.149,0,421.899
69,7000,HAUT DE GAMME,10000,15978.262,5288.355,25061.02,136875.415,0,1609.553
44,7000,HAUT DE GAMME,3019,4757.097,28040.985,10966.659,8392.984,0,138.955
52,7000,CLASSE MOYENNE,1229,883.894,0,5786.836,7003.551,0,166.301
47,7000,CLASSE MOYENNE,500.131,1815.165,112.11,0,10059.019,0,141.229
57,7000,CLASSE MOYENNE,3000,1260.989,14598.331,0,167921.706,0,2194.471
62,7000,CLASSE MOYENNE,773,1632.219,622.3,0,30604.684,0,716.15
70,7000,CLASSE MOYENNE,2741,5108.101,24028.727,7345.253,10134.651,0,179.168
46,7000,CLASSE MOYENNE,1097,1080.507,3631.758,0,22989.976,0,322.779
46,7000,HAUT DE GAMME,3000,8071.584,3336.668,0,46163.41,0,432.09
60,7000,HAUT DE GAMME,2923,3686.912,728.665,9745.623,16656.162,0,265.883
46,7000,HAUT DE GAMME,,156941.421,15917.737,0,110522.78,0,80
43,7000,HAUT DE GAMME,4000,100110.394,404571.0403,110000,228216.762,0,3191.893
38,7000,CLASSE MOYENNE,1000,7485.484,48059.794,1860.038,6953.035,0,83.863
44,6000,HAUT DE GAMME,1400,87831.534,43885.923,21266.299,39168.894,0,1075.491
37,7000,CLASSE MOYENNE,1473,1553.647,15.523,5992.474,20826.773,0,357.462
66,7000,CLASSE MOYENNE,1832,2186.441,8626.833,5520.723,29360.87,0,459.504
